,Country Name,2019_x,2019_y
154,Mexico,99.5999984741211,125085311.0
155,Marshall Islands,97.538200378418,44728.0
156,Middle income,93.433649960719,5797827540.0
157,North Macedonia,100.0,2076694.0
158,Mali,47.8362770080566,20567424.0
159,Malta,100.0,504062.0
160,Myanmar,68.358528137207,53040212.0
161,Middle East & North Africa (excluding high income),96.6458900543079,405259403.0
162,Montenegro,100.0,622028.0
163,Mongolia,97.2299118041992,3232430.0
164,Northern Mariana Islands,100.0,49858.0
165,Mozambique,29.6744499206543,30285595.0
166,Mauritania,45.8300323486328,4383849.0
167,Mauritius,100.0,1265711.0
168,Malawi,11.1999998092651,18867337.0
169,Malaysia,100.0,32804020.0
170,North America,100.0,365995094.0
171,Namibia,55.1770896911621,2446644.0
172,New Caledonia,100.0,271230.0
173,Niger,18.9745712280273,23443393.0
174,Nigeria,55.4000015258789,203304492.0
175,Nicaragua,88.0583267211914,6663924.0
176,Netherlands,100.0,17344874.0
177,Norway,100.0,5347896.0
178,Nepal,89.9000015258789,28832496.0
179,Nauru,100.0,12132.0
180,New Zealand,100.0,4979200.0
181,OECD members,99.9532192373807,1362922537.0
182,Oman,100.0,4602768.0
183,Other small states,77.649700645703,32005203.0
184,Pakistan,74.1276931762695,223293280.0
185,Panama,95.8163299560547,4232532.0
186,Peru,95.5513610839844,32824861.0
187,Philippines,95.6450805664063,110380804.0
188,Palau,100.0,17916.0
189,Papua New Guinea,59.6629753112793,9542486.0
190,Poland,100.0,37965475.0
191,Pre-demographic dividend,47.477349740114,957503246.0
192,Puerto Rico,100.0,3193694.0
193,"Korea, Dem. People's Rep.",49.9720001220703,25755441.0
194,Portugal,100.0,10286263.0
195,Paraguay,99.6999969482422,6530026.0
196,West Bank and Gaza,100.0,4685306.0
197,Pacific island small states,86.1230861720692,2536070.0
198,Post-demographic dividend,99.9979670501802,1113310738.0
199,French Polynesia,100.0,299717.0
200,Qatar,100.0,2807235.0
201,Romania,100.0,19371648.0
202,Russian Federation,100.0,144406261.0
203,Rwanda,40.3686065673828,12835028.0
204,South Asia,93.9973891018042,1861598514.0
205,Saudi Arabia,100.0,35827362.0
206,Sudan,53.9625396728516,43232093.0
207,Senegal,70.4000015258789,16000781.0
208,Singapore,100.0,5703569.0
209,Solomon Islands,69.8094177246094,674993.0
210,Sierra Leone,22.7000007629395,8046828.0
211,El Salvador,97.3600006103516,6280217.0
212,San Marino,100.0,34178.0
213,Somalia,49.2000007629395,15981300.0
214,Serbia,99.8000030517578,6945235.0
215,Sub-Saharan Africa (excluding high income),46.9802565039118,1121451150.0
216,South Sudan,6.70700693130493,10447666.0
217,Sub-Saharan Africa,46.9848715974095,1121548775.0
218,Small states,81.7986491429163,41965375.0
219,Sao Tome and Principe,74.9672012329102,214599.0
220,Suriname,97.8254165649414,600301.0
221,Slovak Republic,100.0,5454147.0
222,Slovenia,100.0,2088385.0
223,Sweden,100.0,10278887.0
224,Eswatini,76.8694381713867,1169613.0
225,Sint Maarten (Dutch part),100.0,41608.0
226,Seychelles,100.0,97625.0
227,Syrian Arab Republic,89.2692108154297,20098251.0
228,Turks and Caicos Islands,100.0,43080.0
229,Chad,8.39999961853027,16126866.0
230,East Asia & Pacific (IDA & IBRD countries),98.4426475597564,2080648616.0
231,Europe & Central Asia (IDA & IBRD countries),99.9864607213805,460994696.0
232,Togo,52.363109588623,8243094.0
233,Thailand,99.9000015258789,71307763.0
234,Tajikistan,99.6332092285156,9337003.0
235,Turkmenistan,99.9000015258789,6158420.0
236,Latin America & the Caribbean (IDA & IBRD countries),98.0477007710906,629515571.0
237,Timor-Leste,90.7986526489258,1280438.0
238,Middle East & North Africa (IDA & IBRD countries),96.6066587820642,400574097.0
239,Tonga,98.4000015258789,104951.0
240,South Asia (IDA & IBRD),93.9973891018042,1861598514.0
241,Sub-Saharan Africa (IDA & IBRD countries),46.9848715974095,1121548775.0
242,Trinidad and Tobago,100.0,1519955.0
243,Tunisia,100.0,12049314.0
244,Turkiye,100.0,83481684.0
245,Tuvalu,99.6999969482422,10956.0
246,Tanzania,37.6596870422363,59872579.0
247,Uganda,41.2999992370605,42949080.0
248,Ukraine,100.0,44386203.0
249,Upper middle income,99.3108476585169,2483924063.0
250,Uruguay,99.9000015258789,3428409.0
251,United States,100.0,328329953.0
252,Uzbekistan,100.0,33580350.0
